PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c07,F2_kurtosis,0.93342346,-0.048071742
c07,PSD_F6_10.0Hz,0.44457892,-0.01880875
c07,PSD_F3_25.5Hz,0.32841083,-0.013590139
c07,F3_hjorth_complexity,0.2156463,-0.021816226
c07,PSD_F2_4.4Hz,0.1871253,0.013650137
c07,PSD_F6_33.3Hz,0.18420322,0.019666582
c07,PSD_F2_21.1Hz,0.17088097,-0.020167457
c07,PSD_F6_37.8Hz,0.16563515,-0.007439705
c07,PSD_Fz_6.7Hz,0.16460593,0.0016565822
c07,F4_hjorth_complexity,0.15918894,-0.010876198
c07,F2_app_entropy,0.14454064,-0.006880977
c07,F2_hjorth_mobility,0.1388493,-0.0014450083
c07,PSD_FCz_6.7Hz,0.12758212,-0.0038844468
c07,PSD_F4_7.8Hz,0.1269269,-0.009902885
c07,PSD_F2_16.7Hz,0.123934016,-0.014398402
c07,PSD_FCz_8.9Hz,0.11420622,-0.010502609
c07,PSD_Fz_32.2Hz,0.10870922,-0.008609356
c07,PSD_FCz_40.0Hz,0.108558506,-0.0047768974
c07,PSD_Fz_24.4Hz,0.087248825,-0.008462458
c07,PSD_FCz_5.6Hz,0.07963741,-0.0038811306
c07,PSD_Fz_33.3Hz,0.07467659,0.00022585096
c07,PSD_F4_8.9Hz,0.07399199,0.004053598
c07,PSD_Fz_21.1Hz,0.06795501,-0.00055866526
c07,Fz_skewness,0.0665352,0.004524552
c07,PSD_F2_27.8Hz,0.064406976,-0.0027877532
c07,PSD_F2_38.9Hz,0.061902974,0.005261551
c07,PSD_F6_7.8Hz,0.06114156,0.0057617812
c07,PSD_F2_31.1Hz,0.05739807,-0.012425521
c07,PSD_F3_27.8Hz,0.057126313,0.00015273863
c07,PSD_FCz_10.0Hz,0.055556916,-0.0026956485
c07,PSD_F6_11.1Hz,0.052558858,-0.0006824462
c07,FCz_line_length,0.051631402,-0.0059069386
c07,PSD_F6_1.1Hz,0.050414357,-0.00039965357
c07,PSD_F4_16.7Hz,0.048632976,-0.002577783
c07,PSD_F4_17.8Hz,0.04100978,0.0007306356
